Sample File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P 500,,,,,,,IBM,,,,,,,GOOGL,,,,,,,CSCO,,,,,,,ADM,,,,,,,NKE,,,,,
Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume,,Date,Open,High,Low,Close,Volume
4/13/17,2341.97998,2348.26001,2328.949951,2328.949951,3143890000,,4/13/17,169.919998,171.360001,169.529999,169.529999,3203900,,4/13/17,841.039978,843.72998,837.849976,840.179993,1067200,,4/13/17,169.919998,171.360001,169.529999,169.529999,3203900,,4/13/17,44.549999,44.580002,44.18,44.279999,2207800,,4/13/17,55.41,55.599998,55.259998,55.34,5250300
4/12/17,2352.149902,2352.719971,2341.179932,2344.929932,3196950000,,4/12/17,171.039993,171.199997,170.020004,170.660004,3276900,,4/12/17,838.460022,843.719971,837.590027,841.460022,1126100,,4/12/17,171.039993,171.199997,170.020004,170.660004,3276900,,4/12/17,44.639999,44.900002,44.32,44.650002,2711400,,4/12/17,54.66,55.619999,54.5,55.57,8471800
4/11/17,2353.919922,2355.219971,2337.25,2353.780029,3117420000,,4/11/17,170.649994,171.229996,168.979996,170.580002,4890200,,4/11/17,841.700012,844.630005,834.599976,839.880005,971900,,4/11/17,170.649994,171.229996,168.979996,170.580002,4890200,,4/11/17,44.93,44.93,44.439999,44.540001,2127900,,4/11/17,54.950001,55.07,54.549999,54.919998,4337500
4/10/17,2357.159912,2366.370117,2351.5,2357.159912,2785410000,,4/10/17,172.529999,172.559998,171,171.199997,3715300,,4/10/17,841.539978,846.73999,840.789978,841.700012,1021200,,4/10/17,172.529999,172.559998,171,171.199997,3715300,,4/10/17,44.91,45.200001,44.720001,44.990002,1592600,,4/10/17,55,55.330002,54.720001,54.900002,5342700
4/7/17,2356.590088,2363.76001,2350.73999,2355.540039,3053150000,,4/7/17,172.080002,172.929993,171.279999,172.139999,3556000,,4/7/17,845,845.880005,837.299988,842.099976,1110000,,4/7/17,172.080002,172.929993,171.279999,172.139999,3556000,,4/7/17,45.290001,45.389999,44.880001,44.889999,1414700,,4/7/17,55.099998,55.240002,54.77,55.110001,5804000
4/6/17,2353.790039,2364.159912,2348.899902,2357.48999,3201920000,,4/6/17,173.470001,173.470001,172.25,172.449997,3416100,,4/6/17,849.5,853.590027,844,845.099976,1526500,,4/6/17,173.470001,173.470001,172.25,172.449997,3416100,,4/6/17,45.169998,45.459999,44.919998,45.25,2283000,,4/6/17,55.07,55.939999,54.939999,55.139999,6688500
4/5/17,2366.590088,2378.360107,2350.52002,2352.949951,3770520000,,4/5/17,174.699997,176.330002,172.809998,172.880005,6199500,,4/5/17,854.710022,860.590027,847.52002,848.909973,1850300,,4/5/17,174.699997,176.330002,172.809998,172.880005,6199500,,4/5/17,45.419998,45.830002,45.099998,45.259998,2801400,,4/5/17,54.970001,55.799999,54.5,54.98,7658500
4/4/17,2354.76001,2360.530029,2350.719971,2360.159912,3206240000,,4/4/17,173.520004,174.960007,173.259995,174.520004,3097400,,4/4/17,848,853,847.51001,852.570007,1345300,,4/4/17,173.520004,174.960007,173.259995,174.520004,3097400,,4/4/17,45.669998,45.810001,45.220001,45.41,2827000,,4/4/17,55.150002,55.299999,54.830002,55.040001,8829800
4/3/17,2362.340088,2365.870117,2344.72998,2358.840088,3416400000,,4/3/17,173.820007,174.869995,173.380005,174.5,4271600,,4/3/17,848.75,859,847.530029,856.75,1967200,,4/3/17,173.820007,174.869995,173.380005,174.5,4271600,,4/3/17,46.200001,46.259998,45.540001,45.799999,2300300,,4/3/17,55.740002,55.799999,55.150002,55.560001,7078000
3/31/17,2364.820068,2370.350098,2362.600098,2362.719971,3354110000,,3/31/17,173.979996,174.949997,173.690002,174.139999,2911200,,3/31/17,846.830017,849.559998,845.23999,847.799988,1437200,,3/31/17,173.979996,174.949997,173.690002,174.139999,2911200,,3/31/17,45.880001,46.310001,45.880001,46.040001,2236100,,3/31/17,56,56.029999,55.650002,55.73,5903600
